AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE
Karapakkam,1004,131,1,1,3,AbNormal,Yes,Commercial,All Pub,Paved,A,4,3,4,4,380000,144400,7600000
Anna Nagar,1986,26,2,1,5,AbNormal,No,Commercial,All Pub,Gravel,RH,4,4,2,3,760122,304049,21717770
Adyar,909,70,1,1,3,AbNormal,Yes,Commercial,ELO,Gravel,RL,4,3,2,3,421094,92114,13159200
Velachery,1855,14,3,2,5,Family,No,Others,NoSewage,Paved,I,4,3,3,4,356321,77042,9630290
Karapakkam,1226,84,1,1,3,AbNormal,Yes,Others,All Pub,Gravel,C,3,2,4,3,237000,74063,7406250
Chrompet,1220,36,2,1,4,Partial,No,Commercial,NoSewage,No Access,RH,4,2,3,3,409027,198316,12394750
Chrompet,1167,137,1,1,3,Partial,No,Others,All Pub,No Access,RL,3,2,2,2,263152,33955,8488790
Velachery,1847,176,3,2,5,Family,No,Commercial,All Pub,Gravel,RM,2,4,2,3,604809,235204,16800250
Chrompet,771,175,1,1,2,AdjLand,No,Others,NoSewage,Paved,RM,2,3,4,3,257578,33236,8308970
Velachery,1635,74,2,1,4,AbNormal,No,Others,ELO,No Access,I,3,3,3,3,323346,121255,8083650
Chrompet,1203,78,2,1,4,AdjLand,Yes,Commercial,All Pub,No Access,RM,4,3,4,3,403326,119504,14938000
Chrompet,1054,143,1,1,3,Partial,No,Others,NoSewage,Gravel,RM,2,3,3,2,245693,141746,9449730
Chrompet,1196,137,1,1,3,Family,No,Others,NoSewage,No Access,RL,2,2,2,2,289554,35097,8774370
Adyar,1056,83,1,1,3,Partial,Yes,Others,NoSewage,Paved,RH,2,3,3,3,319141,37546,9386490
Velachery,1865,157,3,2,5,Family,No,Commercial,NoSewage,Paved,RM,4,2,4,3,619987,294494,15499680
Velachery,1868,148,3,2,5,Family,No,Commercial,NoSewage,Gravel,RH,3,3,3,3,597135,188569,15714080
Karapakkam,1639,175,2,2,4,Normal Sale,Yes,House,ELO,Gravel,I,2,3,4,3,285648,77904,8656000
Chrompet,796,134,1,1,2,AdjLand,Yes,Commercial,All Pub,No Access,RL,3,4,4,4,316464,130951,10912550
Adyar,1136,69,1,1,3,Normal Sale,Yes,Others,All Pub,Paved,A,4,2,2,3,323214,49725,8287550
Anna Nagar,1902,168,2,1,5,Family,Yes,Commercial,ELO,Paved,RL,4,4,4,4,742113,212032,21203240
Chrompet,1069,53,1,1,3,AbNormal,Yes,Others,NoSewage,Paved,RM,2,2,4,3,283544,43622,10905530
Chrompet,931,96,1,1,3,AbNormal,Yes,Others,ELO,Paved,RL,4,3,3,3,248021,27558,9185970
KK Nagar,2010,114,3,2,5,Partial,No,Others,NoSewage,Gravel,RH,3,4,3,3,327762,262210,10925400
Chrompet,1074,100,1,1,3,AbNormal,No,Others,NoSewage,Gravel,RL,3,3,4,3,288821,86646,9627380
T Nagar,1972,111,2,1,5,AdjLand,No,Others,NoSewage,No Access,RH,4,4,2,3,487297,167073,13922760
T Nagar,1685,105,1,1,4,Family,No,House,NoSewage,Gravel,RM,2,4,4,3,352830,176415,12601080
